"","Countries","grades_4th_2007","grades_8th_2007"
"1","Algeria",378,387
"2","Armenia",500,499
"3","Australia",516,496
"4","Canada",515,522
"5","Colombia",355,380
"6","Czech Republic",486,504
"7","El Salvador",330,340
"8","Georgia",438,410
"9","Hungary",510,517
"10","Iran",402,403
"11","Italy",507,480
"12","Japan",568,570
"13","Kuwait",316,354
"14","Lithuania",530,506
"15","Norway",473,469
"16","Qatar",296,307
"17","Russia",544,512
"18","Singapore",599,593
"19","Slovenia",502,501
"20","Sweden",503,491
"21","Tunisia",327,420
"22","Ukraine",469,462
"23","United Kingdom",537,511
"24","United States",529,508
